name,salary_from,salary_to,salary_currency,area_name,published_at
Системный администратор,45000.0,,RUR,Екатеринбург,2022-12-12T07:33:53+0300
Мастер по обслуживанию абонентов,65000.0,,RUR,Кудрово,2022-12-12T01:00:17+0300
"Продакт-менеджер, женская одежда (удаленно)",55000.0,,RUR,Воронеж,2022-12-12T06:07:51+0300
Аналитик данных (Middle),90000.0,,RUR,Владивосток,2022-12-12T03:30:05+0300
Оператор станков (металлообработка),45000.0,60000.0,RUR,Челябинск,2022-12-12T07:23:18+0300
Специалист по телекоммуникациям,,,,Хабаровск,2022-12-12T06:35:33+0300
Слесарь по обслуживанию и ремонту автомобилей,40000.0,,RUR,Улан-Удэ,2022-12-12T04:08:43+0300
Системный администратор,60000.0,70000.0,RUR,Нижневартовск,2022-12-12T07:58:00+0300
Менеджер проектов,60000.0,,RUR,Якутск,2022-12-12T04:39:54+0300
Рабочий по комплексному обслуживанию зданий,24000.0,26000.0,RUR,Новокузнецк,2022-12-12T03:31:40+0300
Механик (желательно с опытом со строительной техникой),300000.0,400000.0,KZT,Астана,2022-12-12T07:47:23+0300
Ведущий инженер-электроник,65000.0,,RUR,Ижевск,2022-12-12T07:21:08+0300
Специалист технической поддержки (в торговом зале),21700.0,43400.0,RUR,Барнаул,2022-12-12T06:10:21+0300
Инженер по гарантии Рено,50000.0,,RUR,Оренбург,2022-12-12T07:19:26+0300
Менеджер (по посткредитному обслуживанию) физических лиц,170000.0,,KZT,Актобе,2022-12-12T07:47:54+0300
Аппаратчик в производстве драг металлов 5 разряда,40000.0,42000.0,RUR,Новосибирск,2022-12-12T06:45:05+0300
Ведущий программист,50000.0,,RUR,Промышленная,2022-12-12T06:17:11+0300
Системный администратор,37500.0,,RUR,Улан-Удэ,2022-12-12T06:31:19+0300
Заместитель начальника Управления цифровой трансформации,,,,Якутск,2022-12-12T04:23:15+0300
Монтер пути транспортного цеха,28237.0,28300.0,RUR,Карабаш (Челябинская область),2022-12-12T07:19:58+0300
Дизайнер,,,,Томск,2022-12-12T07:33:51+0300
Специалист технической поддержки (удаленно),37500.0,46000.0,RUR,Саратов,2022-12-12T07:55:57+0300
Техник абонентской группы,26000.0,33000.0,RUR,Уфа,2022-12-12T07:44:21+0300
Back-end разработчик,,,,Якутск,2022-12-12T05:14:16+0300
Инженер радиосвязи,,,,Новосибирск,2022-12-12T04:03:19+0300
Редактор текста и ввода данных (удалённо),,50000.0,RUR,Москва,2022-12-12T06:26:41+0300
Токарь-универсал (4-5 разряд),30000.0,40000.0,RUR,Новосибирск,2022-12-12T04:55:32+0300
Senior/Middle PHP developer (remote),,300000.0,RUR,Москва,2022-12-12T03:36:45+0300
Главный механик,,,,Курск,2022-12-12T07:38:58+0300
Frontend-разработчик (Middle),,,,Ташкент,2022-12-12T07:47:13+0300
Программист 1С,65000.0,67000.0,RUR,Кемерово,2022-12-12T07:38:48+0300
Техник,29000.0,,RUR,Кемерово,2022-12-12T07:39:41+0300
Старший системный администратор,110000.0,130000.0,RUR,Владивосток,2022-12-12T03:30:04+0300
Сервисный инженер,55000.0,,RUR,Уфа,2022-12-12T07:44:56+0300
Инженер-электроник,60000.0,,RUR,Новосибирск,2022-12-12T06:45:06+0300
Инженер-программист робототехники,,,,Екатеринбург,2022-12-12T07:08:40+0300
UI/UX - UX дизайнер,,,,Владивосток,2022-12-12T02:58:47+0300
Менеджер проекта,200000.0,1500000.0,KZT,Алматы,2022-12-12T00:11:40+0300
Оператор станков с ЧПУ,43000.0,,RUR,Омск,2022-12-12T06:26:46+0300
Специалист отдела технического обслуживания,45000.0,,RUR,Барнаул,2022-12-12T05:44:21+0300
Инженер эксплуатации радиоподсистемы,63000.0,,RUR,Новосибирск,2022-12-12T04:29:11+0300
Инженер-программист 1 С,100000.0,,RUR,Томск,2022-12-12T04:51:21+0300
SMM-дизайнер (не удаленно),35000.0,100000.0,RUR,Ростов-на-Дону,2022-12-12T01:53:03+0300
Директор грузового сервиса (АТП),100000.0,,RUR,Благовещенск (Амурская область),2022-12-12T03:30:26+0300
QA engineer,,,,Ташкент,2022-12-12T07:49:26+0300
Исполнительный директор,,,,Ижевск,2022-12-12T00:17:22+0300
Ведущий инженер связи,,,,Муравленко,2022-12-12T07:45:17+0300
Токарь/оператор станка с ЧПУ,50000.0,60000.0,RUR,Красноярск,2022-12-12T06:51:41+0300
Data Scientist (Computer Vision) / Middle,100000.0,,RUR,Владивосток,2022-12-12T03:30:04+0300
Программист C++ MS SQL,109344.0,275381.0,RUR,Красноярск,2022-12-12T07:35:14+0300
Токарь,53000.0,,RUR,Хабаровск,2022-12-12T03:21:59+0300
Механик по сельхоз машинам,50000.0,,RUR,Барнаул,2022-12-12T04:42:42+0300
Ведущий инженер (вторая линия поддержки),,,,Благовещенск (Амурская область),2022-12-12T03:16:39+0300
Токарь-расточник,,,,Кемерово,2022-12-12T05:48:48+0300
Linux System Administrator,280.0,,EUR,Минск,2022-12-12T07:09:18+0300
Регулировщик радиоэлектронной аппаратуры и приборов,25000.0,,RUR,Омск,2022-12-12T07:16:09+0300
Токарь-карусельщик,,75000.0,RUR,Пенза,2022-12-12T07:38:29+0300
Инженер-программист / Фронтенд-разработчик Vue.js,50000.0,,RUR,Омск,2022-12-12T07:06:46+0300
Автор рекламных материалов,30000.0,40000.0,RUR,Краснодар,2022-12-12T00:37:55+0300
Фрезеровщик,50000.0,,RUR,Новосибирск,2022-12-12T04:37:16+0300
Администратор 1C,,,,Красноярск,2022-12-12T05:12:52+0300
Оператор станка,,60000.0,RUR,Новокузнецк,2022-12-12T07:32:53+0300
Программист,,,,Томск,2022-12-12T04:59:49+0300
Мастер по обслуживанию абонентов,31000.0,,RUR,Чамзинка,2022-12-12T06:44:43+0300
DevOps,,,,Ташкент,2022-12-12T07:45:04+0300
Главный механик,80000.0,80000.0,RUR,Красноярск,2022-12-12T07:10:42+0300
Программист-консультант 1C,80000.0,,RUR,Томск,2022-12-12T05:03:42+0300
Аналитик по цифровой трансформации,,,,Москва,2022-12-12T07:04:41+0300
Аналитик-исследователь/консультант/экономист,,,,Астана,2022-12-12T06:41:31+0300
"Software Engineer (Golang, DNS)",,,,Армения,2022-12-12T07:20:43+0300
Токарь-расточник,,90000.0,RUR,Пермь,2022-12-12T07:34:05+0300
Токарь-расточник,45000.0,,RUR,Пенза,2022-12-12T07:38:36+0300
Оператор станков с ПУ (расточная группа оборудования),70000.0,,RUR,Екатеринбург,2022-12-12T06:35:44+0300
Frontend software developer (Senior/Lead),300000.0,,RUR,Новосибирск,2022-12-12T06:49:42+0300
Инженер-программист,,,,Омск,2022-12-12T07:06:46+0300
